Name,Time,Stat,Sportsbook,Sportsbook Line,DFS Line,Discrepancy,Over Price,Under Price,% Over,% Under,Payout,Higher/Lower,EV
Kyrie Irving,4:30pm,Points,Pinnacle,26.5,26.5,0.0,1.934,1.806,0.4828877005347593,0.5171122994652405,1x,Lower,-17.0%
Trayce Jackson-Davis,7:00pm,Pts + Rebs + Asts,Pinnacle,16.5,16.5,0.0,1.934,1.806,0.4828877005347593,0.5171122994652405,1x,Lower,-17.0%
Myles Turner,4:00pm,Pts + Rebs + Asts,Pinnacle,24.5,24.5,0,1.806,1.934,0.5171122994652405,0.4828877005347593,1x,Higher,-17.0%
Onyeka Okongwu,4:30pm,Points,Pinnacle,9.5,9.5,0.0,1.934,1.806,0.4828877005347593,0.5171122994652405,1x,Lower,-17.0%
Brandon Miller,4:00pm,Pts + Rebs + Asts,Pinnacle,32.5,32.5,0,1.806,1.934,0.5171122994652405,0.4828877005347593,1x,Higher,-17.0%
Toumani Camara,5:00pm,Pts + Rebs + Asts,Pinnacle,16.5,16.5,0.0,1.934,1.806,0.4828877005347593,0.5171122994652405,1x,Lower,-17.0%
PJ Washington,4:30pm,Pts + Rebs + Asts,Pinnacle,26.5,26.5,0.0,1.934,1.813,0.4838537496663998,0.5161462503336003,1x,Lower,-17.5%
Quentin Grimes,4:30pm,Pts + Rebs + Asts,Pinnacle,16.5,16.5,0.0,1.934,1.813,0.4838537496663998,0.5161462503336003,1x,Lower,-17.5%
Karl-Anthony Towns,6:00pm,Rebounds,Pinnacle,11.5,11.5,0.0,2.07,1.704,0.451510333863275,0.5484896661367249,0.94x,Lower,-17.8%
Naji Marshall,4:30pm,Points,Pinnacle,12.5,12.5,0.0,1.925,1.813,0.4850187265917603,0.5149812734082397,1x,Lower,-18.1%
Jerami Grant,5:00pm,Pts + Rebs + Asts,Pinnacle,21.5,21.5,0,1.813,1.925,0.5149812734082397,0.4850187265917603,1x,Higher,-18.1%
De'Aaron Fox,7:00pm,Points,Pinnacle,24.5,24.5,0,1.813,1.925,0.5149812734082397,0.4850187265917603,1x,Higher,-18.1%
Jaylen Brown,4:30pm,Points,Pinnacle,22.5,22.5,0,1.813,1.925,0.5149812734082397,0.4850187265917603,1x,Higher,-18.1%
De'Aaron Fox,7:00pm,Pts + Rebs + Asts,Pinnacle,35.5,35.5,0.0,1.925,1.819,0.4858440170940171,0.5141559829059829,1x,Lower,-18.4%
Domantas Sabonis,7:00pm,Pts + Rebs + Asts,Pinnacle,37.5,37.5,0.0,1.925,1.819,0.4858440170940171,0.5141559829059829,1x,Lower,-18.4%
Onyeka Okongwu,4:30pm,Rebounds,Pinnacle,6.5,6.5,0,1.819,1.925,0.5141559829059829,0.4858440170940171,1x,Higher,-18.4%
Zaccharie Risacher,4:30pm,Pts + Rebs + Asts,Pinnacle,13.5,13.5,0,1.819,1.925,0.5141559829059829,0.4858440170940171,1x,Higher,-18.4%
PJ Washington,4:30pm,Points,Pinnacle,15.5,15.5,0,1.819,1.925,0.5141559829059829,0.4858440170940171,1x,Higher,-18.4%
DeMar DeRozan,7:00pm,Pts + Rebs + Asts,Pinnacle,26.5,26.5,0,1.819,1.925,0.5141559829059829,0.4858440170940171,1x,Higher,-18.4%
Derrick White,4:30pm,Pts + Rebs + Asts,Pinnacle,23.5,23.5,0,1.819,1.925,0.5141559829059829,0.4858440170940171,1x,Higher,-18.4%
Josh Green,4:00pm,Pts + Rebs + Asts,Pinnacle,15.5,15.5,0.0,1.917,1.819,0.4868843683083512,0.5131156316916489,1x,Lower,-18.9%
LaMelo Ball,4:00pm,Pts + Rebs + Asts,Pinnacle,44.5,44.0,-0.5,2.01,1.746,0.48726853348392446,0.5127314665160754,1x,Lower,-19.1%
Anfernee Simons,5:00pm,Points,Pinnacle,19.5,19.5,0.0,1.917,1.826,0.4878439754207854,0.5121560245792145,1x,Lower,-19.4%
Klay Thompson,4:30pm,Pts + Rebs + Asts,Pinnacle,20.5,20.5,0,1.826,1.917,0.5121560245792145,0.4878439754207854,1x,Higher,-19.4%
Jerami Grant,5:00pm,Points,Pinnacle,15.5,15.5,0.0,1.917,1.826,0.4878439754207854,0.5121560245792145,1x,Lower,-19.4%
Andrew Wiggins,7:00pm,Points,Pinnacle,16.5,16.5,0,1.826,1.917,0.5121560245792145,0.4878439754207854,1x,Higher,-19.4%
Josh Hart,6:00pm,Pts + Rebs + Asts,Pinnacle,28.5,28.5,0,1.826,1.917,0.5121560245792145,0.4878439754207854,1x,Higher,-19.4%
Michael Porter Jr.,6:00pm,Pts + Rebs + Asts,Pinnacle,26.5,26.5,0,1.826,1.917,0.5121560245792145,0.4878439754207854,1x,Higher,-19.4%
Trae Young,4:30pm,Points,Pinnacle,22.5,22.5,0.0,1.917,1.826,0.4878439754207854,0.5121560245792145,1x,Lower,-19.4%
Klay Thompson,4:30pm,Points,Pinnacle,15.5,15.5,0.0,1.917,1.826,0.4878439754207854,0.5121560245792145,1x,Lower,-19.4%
Scottie Barnes,4:00pm,Points,Pinnacle,18.5,18.5,0,1.826,1.909,0.5111111111111111,0.4888888888888889,1x,Higher,-19.9%
Dereck Lively II,4:30pm,Pts + Rebs + Asts,Pinnacle,19.5,19.5,0.0,1.909,1.826,0.4888888888888889,0.5111111111111111,1x,Lower,-19.9%
Jayson Tatum,4:30pm,Pts + Rebs + Asts,Pinnacle,39.5,39.5,0.0,1.909,1.833,0.4898450026723677,0.5101549973276323,1x,Lower,-20.3%
Russell Westbrook,6:00pm,Assists,Pinnacle,5.5,5.5,0,1.833,1.909,0.5101549973276323,0.4898450026723677,1x,Higher,-20.3%
Peyton Watson,6:00pm,Pts + Rebs + Asts,Pinnacle,17.5,17.5,0.0,1.909,1.833,0.4898450026723677,0.5101549973276323,1x,Lower,-20.3%
Shaedon Sharpe,5:00pm,Points,Pinnacle,19.5,19.5,0.0,1.909,1.833,0.4898450026723677,0.5101549973276323,1x,Lower,-20.3%
Jalen Suggs,4:00pm,Pts + Rebs + Asts,Pinnacle,24.5,24.5,0.0,1.9,1.833,0.4910259844628984,0.5089740155371015,1x,Lower,-20.9%
Draymond Green,7:00pm,Rebounds,Pinnacle,6.5,6.5,0,1.833,1.9,0.5089740155371015,0.4910259844628984,1x,Higher,-20.9%
Wendell Carter Jr.,4:00pm,Points,Pinnacle,8.5,8.5,0,1.833,1.9,0.5089740155371015,0.4910259844628984,1x,Higher,-20.9%
Trae Young,4:30pm,Pts + Rebs + Asts,Pinnacle,37.5,37.5,0,1.833,1.9,0.5089740155371015,0.4910259844628984,1x,Higher,-20.9%
Mikal Bridges,6:00pm,Assists,Pinnacle,3.5,3.5,0.0,2.25,1.598,0.4152806652806653,0.5847193347193348,0.87x,Lower,-21.0%
Jalen Brunson,6:00pm,Points,Pinnacle,26.5,26.5,0.0,1.9,1.84,0.4919786096256684,0.5080213903743315,1x,Lower,-21.3%
Karl-Anthony Towns,6:00pm,Pts + Rebs + Asts,Pinnacle,40.5,40.5,0,1.84,1.9,0.5080213903743315,0.4919786096256684,1x,Higher,-21.3%
Jalen Duren,4:00pm,Points,Pinnacle,11.5,11.5,0.0,1.9,1.84,0.4919786096256684,0.5080213903743315,1x,Lower,-21.3%
Naji Marshall,4:30pm,Pts + Rebs + Asts,Pinnacle,19.5,19.5,0.0,1.9,1.84,0.4919786096256684,0.5080213903743315,1x,Lower,-21.3%
Toumani Camara,5:00pm,Points,Pinnacle,9.5,9.5,0.0,1.9,1.84,0.4919786096256684,0.5080213903743315,1x,Lower,-21.3%
Clint Capela,4:30pm,Pts + Rebs + Asts,Pinnacle,23.5,23.5,0.0,1.9,1.84,0.4919786096256684,0.5080213903743315,1x,Lower,-21.3%
Bogdan Bogdanovic,4:30pm,Pts + Rebs + Asts,Pinnacle,18.5,18.5,0.0,1.9,1.84,0.4919786096256684,0.5080213903743315,1x,Lower,-21.3%
Karl-Anthony Towns,6:00pm,Points,Pinnacle,26.5,26.5,0.0,2.08,1.694,0.4488606253312135,0.5511393746687865,0.92x,Lower,-21.8%
Isaiah Stewart,4:00pm,Rebounds,Pinnacle,6.5,6.5,0.0,2.03,1.735,0.4608233731739709,0.5391766268260293,0.94x,Lower,-21.9%
