Name,Team,Opponent,Stat,Line,Date,Time,Sport
Matthew Golden,TEX,CLE,Receiving Yards,59.5,2024-12-21,01:00pm,CFB
Matthew Golden,TEX,CLE 1st Half,Receiving Yards,31.5,2024-12-21,01:00pm,CFB1H
Jabari Smith Jr.,HOU,NOP,Pts+Asts,14.5,2024-12-19,05:10pm,NBA
Jabari Smith Jr.,HOU,NOP,Rebs+Asts,9.5,2024-12-19,05:10pm,NBA
Amon-Ra St. Brown,DET,CHI 1st Half,Receiving Yards,38.5,2024-12-22,10:00am,NFL1H
Amon-Ra St. Brown,DET,CHI,Receiving Yards,70.5,2024-12-22,10:00am,NFL
CJ McCollum,NOP,HOU,Points,20.5,2024-12-19,05:10pm,NBA
CJ McCollum,NOP,HOU,Pts+Rebs,24.5,2024-12-19,05:10pm,NBA
CJ McCollum,NOP,HOU,Pts+Asts,24.0,2024-12-19,05:10pm,NBA
CJ McCollum,NOP,HOU,Assists,3.5,2024-12-19,05:10pm,NBA
CJ McCollum,NOP,HOU,Pts+Rebs+Asts,28.5,2024-12-19,05:10pm,NBA
CJ McCollum,NOP,HOU 1st Half,Points,10.5,2024-12-19,05:10pm,NBA1H
CJ McCollum,NOP,HOU 1Q,Points,5.0,2024-12-19,05:10pm,NBA1Q
CJ McCollum,NOP,HOU 1st Half,Pts+Rebs+Asts,14.5,2024-12-19,05:10pm,NBA1H
D.J. Moore,CHI,DET,Receiving Yards,58.5,2024-12-22,10:00am,NFL
D.J. Moore,CHI,DET 1st Half,Receiving Yards,31.5,2024-12-22,10:00am,NFL1H
Jameson Williams,DET,CHI 1st Half,Receiving Yards,25.5,2024-12-22,10:00am,NFL1H
Jameson Williams,DET,CHI,Receiving Yards,48.5,2024-12-22,10:00am,NFL
Dejounte Murray,NOP,HOU 1st Half,Points,10.5,2024-12-19,05:10pm,NBA1H
Dejounte Murray,NOP,HOU,Assists,7.0,2024-12-19,05:10pm,NBA
Dejounte Murray,NOP,HOU,Rebounds,6.0,2024-12-19,05:10pm,NBA
Dejounte Murray,NOP,HOU,Pts+Rebs+Asts,33.0,2024-12-19,05:10pm,NBA
Dejounte Murray,NOP,HOU 1Q,Points,5.0,2024-12-19,05:10pm,NBA1Q
Dejounte Murray,NOP,HOU,Rebs+Asts,13.5,2024-12-19,05:10pm,NBA
Dejounte Murray,NOP,HOU,Pts+Rebs,26.0,2024-12-19,05:10pm,NBA
Dejounte Murray,NOP,HOU,Pts+Asts,26.5,2024-12-19,05:10pm,NBA
Dejounte Murray,NOP,HOU,Points,19.5,2024-12-19,05:10pm,NBA
Keenan Allen,CHI,DET,Receiving Yards,53.5,2024-12-22,10:00am,NFL
Keenan Allen,CHI,DET 1st Half,Receiving Yards,26.5,2024-12-22,10:00am,NFL1H
Dillon Brooks,HOU,NOP,Pts+Asts,15.5,2024-12-19,05:10pm,NBA
Yves Missi,NOP,HOU,Pts+Rebs,19.5,2024-12-19,05:10pm,NBA
Yves Missi,NOP,HOU 1st Half,Points,5.0,2024-12-19,05:10pm,NBA1H
Yves Missi,NOP,HOU,Rebounds,10.0,2024-12-19,05:10pm,NBA
Yves Missi,NOP,HOU,Points,9.5,2024-12-19,05:10pm,NBA
Yves Missi,NOP,HOU,Rebs+Asts,11.5,2024-12-19,05:10pm,NBA
Yves Missi,NOP,HOU,Pts+Asts,10.5,2024-12-19,05:10pm,NBA
Yves Missi,NOP,HOU,Pts+Rebs+Asts,20.5,2024-12-19,05:10pm,NBA
Brandon Boston,NOP,HOU,Points,11.5,2024-12-19,05:10pm,NBA
Brandon Boston,NOP,HOU,Pts+Rebs+Asts,16.5,2024-12-19,05:10pm,NBA
Brandon Boston,NOP,HOU 1st Half,Pts+Rebs+Asts,8.5,2024-12-19,05:10pm,NBA1H
Brandon Boston,NOP,HOU 1st Half,Points,6.0,2024-12-19,05:10pm,NBA1H
Will Howard,OSU,TEN,Pass Attempts,29.5,2024-12-21,05:00pm,CFB
Will Howard,OSU,TEN,Pass+Rush Yds,253.5,2024-12-21,05:00pm,CFB
